Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
4		2650		20650		0.0196		0.1616		1
4		2700		20700		0.0380		0.0783		1
4		2750		20750		0.0241		0.0202		1
4		2800		20800		0.0098		0.0344		1
4		2850		20850		0.0205		0.0178		1
4		2900		20900		0.0163		0.0061		1
4		2950		20950		0.0179		0.1492		1
4		3000		21000		0.0104		0.0113		1
4		3050		21050		0.0220		0.0634		1
4		3100		21100		0.0146		0.0028		1
4		3150		21150		0.0092		0.0060		1
4		3200		21200		0.0185		0.0560		1
4		3250		21250		0.0155		0.0584		1
4		3300		21300		0.0184		0.0022		1
4		3350		21350		0.0300		0.0096		1
4		3400		21400		0.0164		0.0227		1
4		3450		21450		0.0184		0.0999		1
4		3500		21500		0.0151		0.0222		1
4		3550		21550		0.0275		0.0299		1
4		3600		21600		0.0094		0.0043		1
4		3650		21650		0.0185		0.0495		1
4		3700		21700		0.0159		0.0781		1
4		3750		21750		0.0142		0.0048		1
4		3800		21800		0.0148		0.0123		1
4		3850		21850		0.0185		0.0383		1
4		3900		21900		0.0187		0.0212		1
4		3950		21950		0.0249		0.0198		1
4		4000		22000		0.0258		0.0547		1
4		4050		22050		0.0096		0.0441		1
4		4100		22100		0.0518		0.0373		1
4		4150		22150		0.0256		0.0718		1
4		4200		22200		0.0134		0.0027		1
4		4250		22250		0.0144		0.0046		1
4		4300		22300		0.0455		0.1158		1
4		4350		22350		0.0216		0.0539		1
4		4400		22400		0.0226		0.0094		1
4		4450		22450		0.0212		0.0309		1
4		4500		22500		0.0227		0.0038		1
4		4550		22550		0.0161		0.0069		1
4		4600		22600		0.0184		0.0096		1
4		4650		22650		0.0303		0.1099		1
4		4700		22700		0.0210		0.0583		1
4		4750		22750		0.0195		0.0154		1
4		4800		22800		0.0255		0.0144		1
4		4850		22850		0.0166		0.0090		1
4		4900		22900		0.0161		0.0009		1
4		4950		22950		0.0239		0.0611		1
4		5000		23000		0.0159		0.0085		1
4		5050		23050		0.0136		0.0026		1
4		5100		23100		0.0176		0.0037		1
4		5150		23150		0.0175		0.0070		1
4		5200		23200		0.0253		0.0016		1
4		5250		23250		0.0151		0.0087		1
4		5300		23300		0.0314		0.0220		1
4		5350		23350		0.0328		0.0827		1
4		5400		23400		0.0165		0.0059		1
4		5450		23450		0.0105		0.0028		1
4		5500		23500		0.0407		0.0165		1
4		5550		23550		0.0167		0.0005		1
4		5600		23600		0.0162		0.0707		1
4		5650		23650		0.0200		0.0091		1
4		5700		23700		0.0266		0.0725		1
4		5750		23750		0.0241		0.1804		1
4		5800		23800		0.0179		0.0872		1
4		5850		23850		0.0116		0.0908		1
4		5900		23900		0.0124		0.0185		1
4		5950		23950		0.0143		0.0032		1
4		6000		24000		0.0298		0.0042		1
5		50		24050		0.0174		0.0215		1
5		100		24100		0.0189		0.0809		1
5		150		24150		0.0125		0.0255		1
5		200		24200		0.0267		0.0550		1
5		250		24250		0.0270		0.0699		1
5		300		24300		0.0106		0.0036		1
5		350		24350		0.0250		0.1640		1
5		400		24400		0.0162		0.0366		1
5		450		24450		0.0190		0.0092		1
5		500		24500		0.0155		0.0155		1
5		550		24550		0.0247		0.1550		1
5		600		24600		0.0286		0.0308		1
5		650		24650		0.0266		0.0225		1
5		700		24700		0.0153		0.0028		1
5		750		24750		0.0107		0.0917		1
5		800		24800		0.0126		0.0102		1
5		850		24850		0.0170		0.0046		1
5		900		24900		0.0811		0.3929		1
5		950		24950		0.0091		0.0023		1
5		1000		25000		0.0158		0.0005		1
5		1050		25050		0.0201		0.0817		1
5		1100		25100		0.0282		0.0042		1
5		1150		25150		0.0150		0.0159		1
5		1200		25200		0.0277		0.0050		1
5		1250		25250		0.0332		0.0064		1
5		1300		25300		0.0184		0.0858		1
5		1350		25350		0.0156		0.0019		1
5		1400		25400		0.0210		0.0035		1
5		1450		25450		0.0426		0.0718		1
5		1500		25500		0.0292		0.0061		1
5		1550		25550		0.0262		0.0179		1
5		1600		25600		0.0096		0.0029		1
5		1650		25650		0.0163		0.0155		1
5		1700		25700		0.0140		0.0038		1
5		1750		25750		0.0211		0.1376		1
5		1800		25800		0.0117		0.0034		1
5		1850		25850		0.0251		0.1585		1
5		1900		25900		0.0446		0.0348		1
5		1950		25950		0.0123		0.0409		1
5		2000		26000		0.0140		0.0115		1
5		2050		26050		0.0098		0.0979		1
5		2100		26100		0.0283		0.0046		1
5		2150		26150		0.0152		0.0094		1
5		2200		26200		0.0216		0.0044		1
5		2250		26250		0.0134		0.0158		1
5		2300		26300		0.0132		0.0140		1
5		2350		26350		0.0133		0.0095		1
5		2400		26400		0.0209		0.0147		1
5		2450		26450		0.0141		0.0142		1
5		2500		26500		0.0151		0.0364		1
5		2550		26550		0.0157		0.0327		1
5		2600		26600		0.0181		0.0214		1
5		2650		26650		0.0094		0.0384		1
5		2700		26700		0.0191		0.0183		1
5		2750		26750		0.0143		0.0089		1
5		2800		26800		0.0188		0.0025		1
5		2850		26850		0.0149		0.0812		1
5		2900		26900		0.0303		0.0050		1
5		2950		26950		0.0175		0.0194		1
5		3000		27000		0.0217		0.0047		1
5		3050		27050		0.0199		0.0791		1
5		3100		27100		0.0216		0.0148		1
